candidato,dia,color,media,ic_025,ic_975,fecha,mediatt,ic_025tt,ic_975tt
MORENA,1,#751438,35.189067142689424,34.18955657539823,36.28933210932573,2021-03-22,35,34.2,36.3
MORENA,2,#751438,37.05069431506556,35.81065261433978,38.578286334185165,2021-03-23,37,35.8,38.6
MORENA,3,#751438,38.74662977947821,37.36364761572675,39.903372746212774,2021-03-24,39,37.4,39.9
MORENA,4,#751438,40.57185241797826,39.162896378513494,41.91536487180661,2021-03-25,41,39.2,41.9
MORENA,5,#751438,42.20446573527705,40.97328839349898,43.75262697686191,2021-03-26,42,41,43.8
MORENA,6,#751438,43.61724454941882,42.3764296544681,44.72307706837851,2021-03-27,44,42.4,44.7
MORENA,7,#751438,44.83971065241706,43.510074869008534,46.01316926748375,2021-03-28,45,43.5,46
MORENA,8,#751438,45.91549047320338,44.90988729952908,47.0341118035053,2021-03-29,46,44.9,47
MORENA,9,#751438,46.858321852091244,45.839986790522744,48.00083740962155,2021-03-30,47,45.8,48
MORENA,10,#751438,47.77267426604159,46.698686220706875,49.01385906523536,2021-03-31,48,46.7,49
MORENA,11,#751438,48.820831195806456,47.526684467861564,50.295118660901984,2021-04-01,49,47.5,50.3
MORENA,12,#751438,49.22870314967101,48.014274698426185,50.45605412250958,2021-04-02,49,48,50.5
MORENA,13,#751438,49.76713684681216,48.404045979156415,51.19312672033393,2021-04-03,50,48.4,51.2
MORENA,14,#751438,49.541165404764,48.022969507699585,50.84619590046158,2021-04-04,50,48,50.8
MORENA,15,#751438,48.62695972648821,47.17076093909507,49.99601858679966,2021-04-05,49,47.2,50
MORENA,16,#751438,48.25335432394752,46.6478989841398,49.94993041101533,2021-04-06,48,46.6,49.9
MORENA,17,#751438,48.46788248091542,46.83932788119446,50.02619493754653,2021-04-07,48,46.8,50
MORENA,18,#751438,48.70998898818383,46.71131396531693,50.17199684447738,2021-04-08,49,46.7,50.2
MORENA,19,#751438,48.94209196601122,46.976571264100656,50.61848230274425,2021-04-09,49,47,50.6
MORENA,20,#751438,49.114039023295945,46.998437461011314,50.82976237471605,2021-04-10,49,47,50.8
MORENA,21,#751438,49.37566900060112,47.300264638975456,51.09221143037257,2021-04-11,49,47.3,51.1
MORENA,22,#751438,49.43556152091438,47.76255259558509,51.02711935757749,2021-04-12,49,47.8,51
MORENA,23,#751438,49.559488762285646,48.4771153057875,50.53406495729337,2021-04-13,50,48.5,50.5
MORENA,24,#751438,49.794876704314994,49.03571074590733,50.61472729021362,2021-04-14,50,49,50.6
MORENA,25,#751438,49.89978802672396,48.79789237915942,50.90632812688051,2021-04-15,50,48.8,50.9
MORENA,26,#751438,50.21524403436708,48.54107093367658,51.763423394460986,2021-04-16,50,48.5,51.8
MORENA,27,#751438,50.80571221039075,48.803044478726044,52.40353413329064,2021-04-17,51,48.8,52.4
MORENA,28,#751438,51.303656380854804,48.861142001124655,52.94288429969334,2021-04-18,51,48.9,52.9
MORENA,29,#751438,51.73962448683992,49.91827269179125,53.63991776647337,2021-04-19,52,49.9,53.6
MORENA,30,#751438,52.270286933711105,50.758168597897736,54.06562555823421,2021-04-20,52,50.8,54.1
MORENA,31,#751438,52.808023518581635,51.32744219748384,54.51609904677552,2021-04-21,53,51.3,54.5
MORENA,32,#751438,53.42071240445152,52.074779138243734,55.34141369917619,2021-04-22,53,52.1,55.3
MORENA,33,#751438,54.022134611186736,52.66559137105281,55.89598092036168,2021-04-23,54,52.7,55.9
MORENA,34,#751438,54.636232456668075,53.326818153329,56.143474720754206,2021-04-24,55,53.3,56.1
MORENA,35,#751438,55.27602476566859,54.262812887874176,56.38955321761634,2021-04-25,55,54.3,56.4
MORENA,36,#751438,55.960306423485896,54.71978521406214,57.034782958805216,2021-04-26,56,54.7,57
