idIntencionVoto,idFormGeneral,tipoIntencionVoto,fechaEncuesta,pregunta,siNoExplicacion,fechaAlta,fechaEdicion,usuarioCrea,usuarioEdicion,activo,idIntencionVotoRegistro,candidato,partido,resultado,fecha,casaEncuestadora,fechaInicio,fechaFin
1,1,Candidato + Partido,2021/04/01 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 09:23:23,NA,admin,NA,1,1,AMLO,MORENA,39.5,2021-04-01,SDP Noticias,2021-03-26,2021-03-31
1,1,Candidato + Partido,2021/04/01 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 09:23:23,NA,admin,NA,1,2,ANAYA,PAN,19.9,2021-04-01,SDP Noticias,2021-03-26,2021-03-31
1,1,Candidato + Partido,2021/04/01 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 09:23:23,NA,admin,NA,1,3,MEADE,PRI,25.2,2021-04-01,SDP Noticias,2021-03-26,2021-03-31
2,2,Candidato + Partido,2021/04/02 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 09:40:09,NA,admin,NA,1,5,AMLO,MORENA,33.75,2021-04-02,Massive Caller ,2021-03-31,2021-04-01
2,2,Candidato + Partido,2021/04/02 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 09:40:09,NA,admin,NA,1,6,ANAYA,PAN,25.85,2021-04-02,Massive Caller ,2021-03-31,2021-04-01
2,2,Candidato + Partido,2021/04/02 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 09:40:09,NA,admin,NA,1,7,MEADE,PRI,15.1,2021-04-02,Massive Caller ,2021-03-31,2021-04-01
3,3,Candidato + Partido,2021/04/02 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 09:44:29,NA,admin,NA,1,9,AMLO,MORENA,31,2021-04-02,El Heraldo ,2021-03-21,2021-03-23
3,3,Candidato + Partido,2021/04/02 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 09:44:29,NA,admin,NA,1,10,ANAYA,PAN,22,2021-04-02,El Heraldo ,2021-03-21,2021-03-23
3,3,Candidato + Partido,2021/04/02 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 09:44:29,NA,admin,NA,1,11,MEADE,PRI,25,2021-04-02,El Heraldo ,2021-03-21,2021-03-23
4,4,Candidato + Partido,2021/04/02 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 10:00:43,NA,admin,NA,1,14,AMLO,MORENA,38,2021-04-02,Parametria,2021-03-23,2021-03-28
4,4,Candidato + Partido,2021/04/02 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 10:00:43,NA,admin,NA,1,15,ANAYA,PAN,20,2021-04-02,Parametria,2021-03-23,2021-03-28
4,4,Candidato + Partido,2021/04/02 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 10:00:43,NA,admin,NA,1,16,MEADE,PRI,16,2021-04-02,Parametria,2021-03-23,2021-03-28
5,5,Candidato + Partido,2021/04/03 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 10:11:42,NA,admin,NA,1,18,AMLO,MORENA,33,2021-04-03,Conteo SC,2021-03-23,2021-03-27
5,5,Candidato + Partido,2021/04/03 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 10:11:42,NA,admin,NA,1,19,ANAYA,PAN,21.2,2021-04-03,Conteo SC,2021-03-23,2021-03-27
5,5,Candidato + Partido,2021/04/03 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 10:11:42,NA,admin,NA,1,20,MEADE,PRI,24.9,2021-04-03,Conteo SC,2021-03-23,2021-03-27
6,6,Candidato + Partido,2021/04/04 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 10:20:56,NA,admin,NA,1,23,AMLO,MORENA,32,2021-04-04,Mendoza Blanco ,2021-03-23,2021-03-25
6,6,Candidato + Partido,2021/04/04 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 10:20:56,NA,admin,NA,1,24,ANAYA,PAN,25,2021-04-04,Mendoza Blanco ,2021-03-23,2021-03-25
6,6,Candidato + Partido,2021/04/04 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 10:20:56,NA,admin,NA,1,25,MEADE,PRI,15,2021-04-04,Mendoza Blanco ,2021-03-23,2021-03-25
7,7,Candidato + Partido,2021/04/04 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 10:26:48,NA,admin,NA,1,27,AMLO,MORENA,43,2021-04-04,Gii 360,2021-03-30,2021-04-03
7,7,Candidato + Partido,2021/04/04 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 10:26:48,NA,admin,NA,1,28,ANAYA,PAN,19,2021-04-04,Gii 360,2021-03-30,2021-04-03
7,7,Candidato + Partido,2021/04/04 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 10:26:48,NA,admin,NA,1,29,MEADE,PRI,13,2021-04-04,Gii 360,2021-03-30,2021-04-03
8,8,Candidato + Partido,2021/04/09 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 10:35:24,NA,admin,NA,1,31,AMLO,MORENA,34.6,2021-04-09,El Universal ,2021-04-03,2021-04-05
8,8,Candidato + Partido,2021/04/09 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 10:35:24,NA,admin,NA,1,32,ANAYA,PAN,25.6,2021-04-09,El Universal ,2021-04-03,2021-04-05
8,8,Candidato + Partido,2021/04/09 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 10:35:24,NA,admin,NA,1,33,MEADE,PRI,18.1,2021-04-09,El Universal ,2021-04-03,2021-04-05
9,9,Candidato + Partido,2021/04/18 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 10:47:03,NA,admin,NA,1,35,AMLO,MORENA,48,2021-04-18,Reforma,2021-04-12,2021-04-15
9,9,Candidato + Partido,2021/04/18 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 10:47:03,NA,admin,NA,1,36,ANAYA,PAN,26,2021-04-18,Reforma,2021-04-12,2021-04-15
9,9,Candidato + Partido,2021/04/18 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 10:47:03,NA,admin,NA,1,37,MEADE,PRI,18,2021-04-18,Reforma,2021-04-12,2021-04-15
10,10,Candidato + Partido,2021/04/19 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 10:51:42,NA,admin,NA,1,40,AMLO,MORENA,31.9,2021-04-19,Consulta Mitofsky,2021-04-13,2021-04-15
10,10,Candidato + Partido,2021/04/19 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 10:51:42,NA,admin,NA,1,41,ANAYA,PAN,20.8,2021-04-19,Consulta Mitofsky,2021-04-13,2021-04-15
10,10,Candidato + Partido,2021/04/19 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 10:51:42,NA,admin,NA,1,42,MEADE,PRI,16.9,2021-04-19,Consulta Mitofsky,2021-04-13,2021-04-15
11,11,Candidato + Partido,2021/05/01 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 13:24:03,NA,admin,NA,1,45,AMLO,MORENA,50.9,2021-05-01,Revista 32,2021-04-23,2021-04-25
11,11,Candidato + Partido,2021/05/01 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 13:24:03,NA,admin,NA,1,46,ANAYA,PAN,17.8,2021-05-01,Revista 32,2021-04-23,2021-04-25
11,11,Candidato + Partido,2021/05/01 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 13:24:03,NA,admin,NA,1,47,MEADE,PRI,13.5,2021-05-01,Revista 32,2021-04-23,2021-04-25
12,12,Candidato + Partido,2021/05/02 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 13:27:08,NA,admin,NA,1,50,AMLO,MORENA,45,2021-05-02,La silla rota,2021-04-25,2021-04-28
12,12,Candidato + Partido,2021/05/02 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 13:27:08,NA,admin,NA,1,51,ANAYA,PAN,29,2021-05-02,La silla rota,2021-04-25,2021-04-28
12,12,Candidato + Partido,2021/05/02 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 13:27:08,NA,admin,NA,1,52,MEADE,PRI,18,2021-05-02,La silla rota,2021-04-25,2021-04-28
13,13,Candidato + Partido,2021/05/07 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 13:30:08,NA,admin,NA,1,55,AMLO,MORENA,42,2021-05-07,BCG ,2021-05-03,2021-05-06
13,13,Candidato + Partido,2021/05/07 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/14 13:30:08,NA,admin,NA,1,56,ANAYA,PAN,33,2021-05-07,BCG ,2021-05-03,2021-05-06
